Filename	Segment	WC	Analytic	Clout	Authentic	Tone	WPS	Sixltr	Dic	function	pronoun	ppron	i	we	you	shehe	they	ipron	article	prep	auxverb	adverb	conj	negate	verb	adj	compare	interrog	number	quant	affect	posemo	negemo	anx	anger	sad	social	family	friend	female	male	cogproc	insight	cause	discrep	tentat	certain	differ	percept	see	hear	feel	bio	body	health	sexual	ingest	drives	affiliation	achieve	power	reward	risk	focuspast	focuspresent	focusfuture	relativ	motion	space	time	work	leisure	home	money	relig	death	informal	swear	netspeak	assent	nonflu	filler	AllPunc	Period	Comma	Colon	SemiC	QMark	Exclam	Dash	Quote	Apostro	Parenth	OtherP
32.txt	6	26	82.82	87.57	83.83	89.84	13.00	3.85	80.77	46.15	19.23	11.54	7.69	0.00	3.85	0.00	0.00	7.69	7.69	11.54	7.69	0.00	0.00	0.00	11.54	7.69	0.00	3.85	0.00	0.00	3.85	3.85	0.00	0.00	0.00	0.00	15.38	0.00	0.00	0.00	0.00	7.69	0.00	0.00	0.00	3.85	3.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.69	0.00	3.85	0.00	3.85	0.00	0.00	15.38	0.00	19.23	0.00	3.85	15.38	3.85	0.00	0.00	0.00	0.00	0.00	3.85	0.00	0.00	3.85	0.00	0.00	19.23	0.00	7.69	0.00	0.00	3.85	0.00	0.00	0.00	0.00	0.00	7.69
32.txt	7	20	1.00	69.14	74.76	25.77	6.67	0.00	85.00	55.00	30.00	20.00	10.00	0.00	10.00	0.00	0.00	10.00	0.00	5.00	10.00	5.00	10.00	5.00	15.00	5.00	0.00	0.00	0.00	0.00	10.00	5.00	5.00	0.00	0.00	5.00	20.00	0.00	0.00	0.00	0.00	10.00	0.00	0.00	5.00	5.00	0.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00	0.00	5.00	0.00	5.00	10.00	0.00	10.00	0.00	5.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00	5.00	0.00	0.00	20.00	0.00	5.00	0.00	0.00	10.00	0.00	0.00	0.00	5.00	0.00	0.00
32.txt	8	23	60.05	80.77	1.00	99.00	23.00	13.04	86.96	52.17	13.04	4.35	0.00	0.00	4.35	0.00	0.00	8.70	8.70	8.70	17.39	0.00	4.35	0.00	21.74	13.04	0.00	0.00	8.70	4.35	17.39	13.04	4.35	0.00	0.00	4.35	4.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.35	0.00	0.00	0.00	4.35	0.00	0.00	26.09	0.00	4.35	0.00	0.00	4.35	0.00	0.00	0.00	0.00	0.00	0.00	4.35	0.00	0.00	4.35	0.00	0.00	17.39	0.00	13.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.35
32.txt	9	7	29.30	92.33	13.15	25.77	7.00	0.00	85.71	57.14	28.57	28.57	14.29	0.00	14.29	0.00	0.00	0.00	0.00	14.29	0.00	0.00	14.29	0.00	14.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	28.57	0.00	0.00	0.00	0.00	28.57	0.00	0.00	28.57	14.29	0.00	14.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	14.29	0.00	14.29	0.00	14.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
32.txt	10	2	93.26	50.00	1.00	99.00	2.00	0.00	50.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	50.00	50.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	50.00	0.00	50.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100.00
32.txt	11	17	7.44	11.97	6.20	98.87	17.00	5.88	82.35	64.71	23.53	17.65	11.76	0.00	0.00	5.88	0.00	5.88	0.00	11.76	17.65	5.88	5.88	0.00	23.53	0.00	5.88	0.00	0.00	0.00	5.88	5.88	0.00	0.00	0.00	0.00	5.88	0.00	0.00	5.88	0.00	11.76	0.00	0.00	5.88	11.76	0.00	5.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.76	0.00	0.00	5.88	5.88	0.00	0.00	17.65	5.88	5.88	0.00	5.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.76	0.00	5.88	5.88	0.00	0.00	17.65	0.00	5.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.76
32.txt	12	11	1.00	50.00	2.40	25.77	11.00	18.18	90.91	63.64	27.27	18.18	9.09	0.00	9.09	0.00	0.00	9.09	0.00	9.09	27.27	0.00	0.00	9.09	27.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.09	0.00	0.00	0.00	0.00	18.18	0.00	0.00	18.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.09	0.00	9.09	0.00	0.00	0.00	0.00	18.18	0.00	18.18	0.00	9.09	9.09	9.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	18.18	0.00	9.09	0.00	0.00	0.00	0.00	0.00	0.00	9.09	0.00	0.00
32.txt	13	8	38.60	50.00	74.76	1.00	8.00	25.00	100.00	62.50	25.00	25.00	12.50	0.00	12.50	0.00	0.00	0.00	12.50	12.50	12.50	0.00	0.00	12.50	25.00	0.00	0.00	0.00	0.00	0.00	12.50	0.00	12.50	0.00	12.50	0.00	12.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.50	0.00	12.50	0.00	0.00	0.00	0.00	12.50	0.00	12.50	0.00	0.00	12.50	12.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.50	0.00	0.00
32.txt	14	6	1.00	50.00	1.00	99.00	6.00	16.67	83.33	66.67	33.33	0.00	0.00	0.00	0.00	0.00	0.00	33.33	0.00	0.00	16.67	16.67	0.00	0.00	16.67	0.00	0.00	0.00	0.00	0.00	33.33	33.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.67	0.00	16.67	0.00	16.67	0.00	0.00	16.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.67	0.00	0.00	0.00	16.67	0.00	16.67	0.00	16.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
32.txt	15	10	78.30	15.86	3.37	25.77	10.00	10.00	90.00	70.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00	0.00	30.00	10.00	10.00	0.00	10.00	10.00	10.00	10.00	0.00	0.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00	0.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00	0.00	0.00	10.00	0.00	0.00	0.00	10.00	0.00	10.00	0.00	10.00	0.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
