Word	function	pronoun	ppron	i	we	you	shehe	they	ipron	article	prep	auxverb	adverb	conj	negate	verb	adj	compare	interrog	number	quant	affect	posemo	negemo	anx	anger	sad	social	family	friend	female	male	cogproc	insight	cause	discrep	tentat	certain	differ	percept	see	hear	feel	bio	body	health	sexual	ingest	drives	affiliation	achieve	power	reward	risk	focuspast	focuspresent	focusfuture	relativ	motion	space	time	work	leisure	home	money	relig	death	informal	swear	netspeak	assent	nonflu	filler	
todayit																																																								X		X			X												
rated																																																																									
clicking																																								X		X																															
thumbs																																												X	X																												
medical																																												X		X																											
mary																																																																									
doctor																																												X		X			X			X										X											
wiles																																																																									
practice																																																	X		X					X						X											
similar																	X	X																																																							
richmond																																																																									
considering																X																	X	X																																							
purchasing																																																																	X								
billing																																																																	X								
fully	X												X																																													X		X													
automated																																																																									
accounting																																																																	X								
doctors																																												X		X			X			X										X											
denver																																																																									
colorado																																								X	X																																
offer																												X																																													
ve																																																																									
nightmares																						X		X																																																	
friends																												X		X																			X	X																							
systems																																																																									
paid																X																																							X										X								
their	X	X	X					X																				X																																													
upgrades																																																																									
fixed																																																																									
locally																																																										X		X													
modem																																																																									
needing																X																	X			X																																					
decision																																	X	X																																							
technical																																																																									
hard																	X																							X			X																														
feel																X																	X	X						X			X													X																	
administrator																																																	X			X										X											
develop																																																														X											
johnson																																																																									
six																				X																																																					
east																																																										X		X													
coast																																																																									
8005551212																				X																																																					
twentyfour																				X																																																					
taking																X																																	X				X																				
mind																																																																									
questions																																	X	X			X																																				
uses																X																	X		X																					X																	
rather	X												X																				X			X			X																																		
vendor																																																																									
answer																																	X	X																																							
simple																	X																																																								
promise																						X	X										X					X																																			
pester																						X		X		X																																															
helping																						X	X					X																																													
gets																X																																	X				X			X																	
stuck																X																																							X			X		X													
john																																																																									
jenkins																																																																									
re																																																																									
customers																																																														X			X								
serious																	X					X		X																																																	
unaware																																	X	X																																							
causing																																	X		X																																						
records																																																																									
corrupted																																																																									
normally																																	X			X																																					
handle																																																																									
holiday																																																															X										
act																																																																									
marys																																																																									
jerrys																																																																									
login																																																																									
loose																	X																							X			X																														
notebook																																																																									
5558675309																				X																																																					
friday																																																										X			X												
normal																	X																																																								
enjoy																						X	X																																																		
lucia																																																																									
angel																																																																		X							
interrupting																						X		X		X		X																																													
experiencing																																								X																																	
charge																																																																									
busy																	X																																									X			X	X											
moving																X																																										X	X														
usa																																																																									
netherlands																																																																									
saw																X																								X	X														X																		
battery																																																																									
leaking																																																																									
2s																																																																									
confirm																																																																									
associated																																																														X											
fitbit																																																																									
upon	X										X																																															X		X													
paired																																																																									
27																				X																																																					
2017																				X																																																					
gift																																																																									
mom																												X	X		X																																										
lived																X																												X		X									X																		
country																																																										X		X													
worried																	X					X		X	X																																																
covered																																																																									
fitbits																																																																									
warranty																																																																									
forwarded																												X																											X			X	X	X	X												
higher																	X	X																															X			X						X		X													
determine																X																	X	X																						X																	
contacted																X												X																											X																		
reviewed																																																														X											
claim																																																																									
trackers																																																																									
acces																																																																									
instructions																																																														X											
appropriate																	X																																																								
follow																X																																								X		X	X														
assured																						X	X										X					X																																			
transcript																																																														X											
documentation																																																																									
expect																																	X			X																					X																
within	X										X																																															X		X													
confirmation																																																																									
compose																																																																									
typing																X																																														X											
patience																																																																									
kindly																						X	X																																																		
replacement																																																										X	X														
train																																																																									
track																																																																									
cheers																						X	X																																																		
receive																												X																														X	X		X												
brief																																																										X	X		X												
seeing																X																								X	X																																
errors																																																																									
logs																																																																									
indicate																																																																									
sending																X												X																														X	X														
checks																																																																									
ticket																																																															X										
later																	X	X																																								X			X												
stop																																																	X					X				X			X												
doublecheck																				X	X																																																				
domain																																																																									
properly																																																																									
commands																																																	X			X																					
type																																																																									
net																																																																									
sarah																																																																									
finance																																																														X			X								
updated																																																										X			X												
pay																																																														X			X								
looks																X																								X	X															X																	
match																																																																									
record																																																																									
disaster																						X		X																									X					X																			
least																	X	X			X																																																				
including	X										X																																																														
everybodys	X	X							X																			X					X					X																																			
4454536346346																				X																																																					
confirmed																																																																									
though	X												X	X																			X						X																																		
wouldnt	X											X			X	X																	X			X																																					
jules																																																																									
flex																																																																									
charged																																																																									
worries																						X		X	X																															X																	
begin																X																																								X		X			X												
investigation																																																														X			X								
linked																																	X	X																								X		X													
troubleshoots																						X		X																									X					X																			
performed																																																														X											
articles																																																																									
followed																X																																							X			X	X														
community																												X																					X	X																							
restart																																																																									
results																																	X		X																																						
prior																																																							X			X			X												
successful																	X					X	X																										X		X		X									X											
sync																																																																									
yesterday																																																							X			X			X												
609																				X																																																					
pm																																																																									
android																																																																									
level																																																										X		X													
65																				X																																																					
confirming																																																																									
firmware																																																																									
reacts																																	X		X																																						
charger																																																																									
vibrations																																																																									
display																																								X	X																																
dead																																																																			X						
hear																X												X												X		X														X																	
tracker																																																																									
consecutive																																																																									
refresh																																																																									
following																X																																										X	X														
articlehttphelpfitbitcarticle1186																																																																									
crossing																																																																									
fingers																																								X			X	X	X																												
mine	X	X	X	X																																																																					
result																																	X		X																																						
uuhh																																																																									
effort																																																	X		X											X											
cleaning																X																																																									
contacts																												X		X																																											
refer																																	X	X																																							
instructionshttphelpfitbitcparticle2005																																																														X											
troubleshooting																						X		X																									X					X																			
cleaned																X																																							X																		
charging																																																																									
rubbing																X																								X			X																														
alcohol																																												X		X		X															X										
aaaand																																																																									
sad																	X					X		X			X																																														
proceed																																																										X			X												
solutions																																	X	X	X														X		X																						
alot																					X												X				X																																				
damage																						X		X																																																	
perhaps	X												X																				X				X																																				
culprit																																																																									
wifes																												X	X		X																		X	X																							
retry																																																																									
uuh																																																																									
efforts																																																	X		X											X											
exhausted																						X		X																				X		X																											
necessary																	X																X					X																																			
move																X																																								X		X	X														
status																																																	X			X																					
residence																																																																X									
spain																																																																									
wonderful																	X					X	X																																																		
wish																X																	X			X																					X																
visit																X												X																														X	X														
birthday																																																										X			X												
2016																				X																																																					
november																																																										X			X												
sweet																	X					X	X																	X				X				X																									
planning																																																	X		X						X																
forest																																																																									
mines																																																																									
news																																																																									
limited																																																	X		X																						
containing																																																										X		X													
agreed																						X	X																																																		
feedback																																																														X											
appreciated																						X	X										X	X																																							
refine																																																																									
processes																																																																									
meantime																																																										X			X												
whenever	X												X	X					X																																							X			X												
trip																																																										X	X														
vulnerable																						X		X	X																								X			X																					
inc																																																														X											
jake																																																																									
fuzzy																																	X				X			X			X																														
sir																												X				X																	X			X																					
supervisors																																																	X			X										X											
erm																																																																									
spoke																X												X												X		X													X																		
unfortunately																						X		X																																																	
yourcolleagues																																																																									
less																	X	X			X																																																				
mid																																																										X		X													
ackroyd																																																																									
fraud																																																																									
seen																X																								X	X														X																		
unusual																																	X			X																																					
activity																																																																									
ypur																																																																									
postcode																																																																									
nope	X														X																																																										
inforamtion																																																																									
presently	X												X																																											X		X			X												
maintenance																																																																									
air																																																										X		X													
conditioning																																																																									
units																																																																									
apparently	X												X																				X				X																																				
keys																																																																									
engineer																																																																									
arriving																																																										X	X														
20																				X																																																					
theyre	X											X				X												X																												X																	
susan																																																																									
version																																	X						X																																		
web																																																																									
browser																																																																									
performing																																																														X											
patching																																																																									
70																				X																																																					
dave																																																																									
marketing																																																														X			X								
stewart																																																																									
onsite																																																																									
rsa																																																																									
fob																																																																									
possibly																																	X				X																																				
rachel																																																																									
ending																																																										X			X												
fraudulent																																																																									
made																X																	X		X																				X																		
debit																																																																	X								
history																																																										X			X												
push																X																																										X	X														
media																																																																									
presence																																																																									
vastmajority																																																																									
liked																X						X	X																																X																		
page																																																																									
remedy																																																																									
httpwwwsomesocialmediawebsitecom																																																																									
positive																	X					X	X										X					X											X				X																				
thevast																																																																									
majority																					X																																																				
responded																												X																																													
join																X																																	X	X						X																	
linkhttpwwwsomesocialmediawebsitecomit																																	X	X																								X		X													
spoken																X												X												X		X													X																		
david																																																																									
answered																																	X	X																																							
hay																																																																									
police																																																	X			X										X											
posted																X																																							X																		
alarm																						X		X	X																								X					X																			
due																																																										X			X												
site																																																										X		X													
equipment																																																																									
signs																																																																									
colleague																												X		X																			X	X												X											
shortly	X												X																																													X		X													
meet																X												X																					X	X						X																	
free																	X					X	X																																										X								
potential																																	X				X												X		X						X																
job																																																														X											
point																																																										X		X													
direction																																																										X		X													
university																																																														X											
student																																																	X			X										X											
satisfaction																						X	X																																																		
chamber																																																																									
commerce																																																														X											
workplace																																																																									
major																																																																									
utility																																																																									
performance																																																														X											
area																																																										X		X													
reports																																																														X											
being	X											X				X																																																									
website																																																																									
view																																								X	X																																
correctly																																	X					X																																			
mentioned																												X																																													
recent																	X	X																																								X			X												
article																																																																									
below	X										X																																						X			X						X		X													
roll																																																										X	X														
continue																																																								X		X			X												
register																																																														X											
internet																																																																									
explorer																																	X	X																								X	X														
stable																																																																									
these	X	X							X																																																																
rfid																																																																									
chief																																																	X			X																					
executive																																																	X			X										X											
character																																																																									
longer																	X	X																																								X		X													
annoyed																						X		X		X																																															
promptly																																																																									
consequences																																	X		X														X					X																			
god																																																	X			X														X							
mystery																																	X				X																																				
shopper																																																															X		X								
guard																																																	X					X																			
josie																																																																									
detected																																																																									
browse																																																																									
shall	X											X				X																																									X																
indecent																																																																									
websites																																																																									
certainly																						X	X										X					X																																			
dare																																																	X				X																				
hmmwell																																																																				X		X		X	
filters																																																																									
block																																																																									
sites																																																										X		X													
compromised																																																	X	X																							
traffic																																																																									
robson																																																																									
zxycorp																																																																									
rob																																																																									
absence																																																																									
honor																						X	X																										X		X	X																					
dealing																																																																									
robs																																																																									
jetting																																																																									
caribbean																																																																									
slave																																																	X			X																					
sensitive																	X																																																								
against	X										X																						X						X																																		
crazy																	X					X		X																																																	
collect																																																																									
bring																X																																								X		X	X														
encrypted																																																																									
stick																																																																									
along	X										X																																																														
securely																						X	X																										X					X																			
2pm																																																																									
reception																																																																									
orders																																																	X			X																					
variety																	X	X			X																																																				
pack																																																																									
ounce																																																																									
bottles																																																																									
12																				X																																																					
worth																																																																	X								
opened																																																										X		X													
drank																X																												X				X							X																		
taste																																								X				X				X																									
sour																	X																							X																																	
acid																																								X																																	
burning																																								X			X																														
throat																																												X	X																												
discarded																																																																									
wondering																X																	X	X			X																																				
compensation																																																																	X								
gatorade																																																																									
momentarily																																																										X			X												
chatting																												X																					X	X													X										
cameron																																																																									
learn																X																	X	X																						X						X											
quality																																																																									
assurance																						X	X										X					X																																			
couipons																																																																									
manufacturers																																																														X											
coupons																																																																	X								
retailer																																																														X			X								
location																																																										X		X													
giftcard																																																																									
balance																																																																									
prime																																																																									
3172016																				X																																																					
share																						X	X					X																					X	X						X																	
someaddress																																																																									
49																				X																																																					
arrive																X																																								X		X	X														
ordered																																																																									
burgers																																																																									
dennys																																																																									
includedsides																																																																									
drinks																																												X				X															X										
lastnight																																																										X			X												
10pm																																																																									
order																																																	X			X						X															
missing																X						X		X			X																																														
food																																												X				X																									
opaque																																																																									
boxes																																																																									
expected																																	X			X																					X																
driver																																																																									
notice																X																	X	X																						X																	
friessides																																																																									
addition																																																																									
halfway																																																																									
grubhub																																																																									
specific																	X																X					X																																			
experienced																																								X																																	
xxxxxxxxxxxxxxx																																																																									
reply																												X																																													
restaurant																																												X				X															X										
resolve																						X	X										X	X															X		X																						
prefer																																	X	X		X																																					
whichever	X	X							X										X																																																						
quicker																	X	X																																								X			X												
advise																												X																																		X											
although	X													X																			X						X																																		
247																				X																																																					
becuase																																																																									
weekly																																																										X			X												
huge																																																	X			X						X		X													
rush																																																										X	X														
refund																																																																	X								
certain																						X	X										X					X																																			
refunded																																																																	X								
receiving																												X																														X	X		X												
clarify																																	X	X																																							
whole																					X																																																				
understood																X																	X	X																					X																		
clarification																																	X	X																																							
money																																																																	X								
35																				X																																																					
depending																																	X		X		X																																				
xyzcorp																																																																									
hr																																																														X											
leeds																																																																									
colleagues																												X		X																			X	X												X											
conduct																																																																									
training																																																																									
arrange																																																																									
hand																																								X			X	X	X																												
prepared																																																									X																
instead	X												X																				X						X																																		
555666111																				X																																																					
sheet																																																																									
sue																																																																									
kate																																																																									
afraid																	X					X		X	X																																																
reading																X																																																									
passes																X																																								X		X	X														
rooms																																																										X		X				X									
awareness																																	X	X																																							
relating																X																	X	X																																							
visitor																																																																									
notes																																																																									
crossed																																																																									
wires																																																																									
15																				X																																																					
eduardo																																																																									
lady																												X			X																																										
shes	X	X	X				X					X				X												X																												X																	
secretary																																																														X											
offices																																																														X											
vice																																																																									
pres																																																																									
idents																																																																									
girl																												X			X																																										
iloveyou																																																																									
anyways	X												X																																																							X					X
jit																																																																									
crashed																																																																									
cbis																																																																									
heather																																																																									
marning																																																																									
pencil																																																														X											
baz6573nr27q																																																																									
kolokotroni																																																																									
45																				X																																																					
21307896543																				X																																																					
hitchings																																																																									
assistant																																																														X											
wilsonharding																																																																									
banka																																																														X			X								
